PERMIT_NO,FARM_NAME,COUNTY,PROD_GAS_QUANT
003-21982,YUTE UNIT 4H,Allegheny,3057610.2600000002
003-21994,FAWN DEVELOPERS INC 1,Allegheny,372983.8
003-22006,IMPERIAL LAND CORP IMPERIAL H1,Allegheny,
003-22065,SEDAT 1,Allegheny,
003-22078,EILEEN MOSLEY 1,Allegheny,
003-22091,FAWN DEVELOPERS INC 3H,Allegheny,5546116.7
003-22092,FAWN DEVELOPERS INC 4H,Allegheny,3030089.6
003-22098,BANKS JANET ET AL UNIT 8H,Allegheny,
003-22099,BANKS JANET ET AL UNIT 9H,Allegheny,
003-22128,OLIVER WEST 590591,Allegheny,0.0
003-22129,OLIVER WEST 590590,Allegheny,0.0
003-22193,YUTE UNIT 2H,Allegheny,4163773.39
003-22194,YUTE UNIT 3H,Allegheny,2824588.4099999983
003-22195,YUTE UNIT 5H,Allegheny,4232251.87
003-22196,YUTE UNIT 8H,Allegheny,3252729.400000001
003-22197,YUTE UNIT 9H,Allegheny,3015661.4599999986
003-22203,BAKERSTOWN ROAD UNIT 5H,Allegheny,2321257.55
003-22204,BAKERSTOWN ROAD UNIT 4H,Allegheny,2754485.8699999996
003-22207,GULICK UNIT 2H,Allegheny,
003-22208,GULICK UNIT 3H,Allegheny,
003-22209,GULICK UNIT 4H,Allegheny,
003-22210,BAKERSTOWN ROAD UNIT 2H,Allegheny,2567947.5199999996
003-22211,BAKERSTOWN ROAD UNIT 3H,Allegheny,1617250.160000001
003-22212,SCHILLER GERALD UNIT 1H,Allegheny,
003-22213,SCHILLER GERALD UNIT 2H,Allegheny,
003-22214,SCHILLER GERALD UNIT 3H,Allegheny,
003-22216,ZIOLKOWSKI MICHELLE UNIT 1H,Allegheny,
003-22217,ZIOLKOWSKI MICHELLE UNIT 2H,Allegheny,
003-22218,ZIOLKOWSKI MICHELLE UNIT 3H,Allegheny,
003-22219,DALBO DOMINICK UNIT 1H,Allegheny,
003-22220,DALBO DOMINICK UNIT 2H,Allegheny,
003-22221,DALBO DOMINICK UNIT 3H,Allegheny,
003-22222,SCHILLER GERALD UNIT 1H,Allegheny,3321065.5500000003
003-22223,SCHILLER GERALD UNIT 2H,Allegheny,2292234.5
003-22224,SCHILLER GERALD UNIT 3H,Allegheny,3159831.5600000005
003-22225,SCHILLER GERALD UNIT 6H,Allegheny,2861294.21
003-22227,SCHILLER GERALD UNIT 4H,Allegheny,6057451.26
003-22229,OLIVER EAST 590597,Allegheny,3277330.0
003-22230,BOVARD DOROTHY UNIT 4H,Allegheny,3445448.6999999993
003-22231,BOVARD DOROTHY UNIT 5H,Allegheny,3156663.3800000004
003-22232,BOVARD DOROTHY UNIT 6H,Allegheny,3324110.81
003-22233,BOVARD DOROTHY UNIT 8H,Allegheny,4197693.020000002
003-22234,OLIVER EAST 590598,Allegheny,4125789.0
003-22235,OLIVER EAST 590599,Allegheny,3357712.0
003-22236,OLIVER EAST 590600,Allegheny,3953507.0
003-22237,OLIVER EAST 590596,Allegheny,2612422.0
003-22240,OLIVER WEST 591627,Allegheny,4208094.0
003-22241,OLIVER WEST 591628,Allegheny,4059887.0
003-22242,OLIVER WEST 591629,Allegheny,3097038.0
003-22246,DALBO DOMINICK UNIT 1H,Allegheny,
003-22247,DALBO DOMINICK UNIT 2H,Allegheny,367869.73
003-22248,DALBO DOMINICK UNIT 3H,Allegheny,
003-22251,GULICK UNIT 2H,Allegheny,
003-22252,GULICK UNIT 3H,Allegheny,
003-22253,GULICK UNIT 4H,Allegheny,
003-22256,ZIOLKOWSKI MICHELLE UNIT 1H,Allegheny,
003-22257,ZIOLKOWSKI MICHELLE UNIT 2H,Allegheny,
003-22258,ZIOLKOWSKI MICHELLE UNIT 3H,Allegheny,
003-22259,VEDRO AUGUST UNIT 1H,Allegheny,
003-22261,VEDRO AUGUST UNIT 3H,Allegheny,
003-22262,VEDRO AUGUST UNIT 4H,Allegheny,
003-22266,VEDRO AUGUST UNIT 2H,Allegheny,
003-22269,OLIVER WEST 590590,Allegheny,4636263.0
003-22270,OLIVER WEST 590591,Allegheny,4893567.0
003-22271,OLIVER WEST 590592,Allegheny,
003-22272,OLIVER WEST 590593,Allegheny,4472106.0
003-22273,OLIVER WEST 590594,Allegheny,3053419.0
003-22274,OLIVER WEST 590595,Allegheny,4422041.0
003-22275,OLIVER WEST 591626,Allegheny,3003251.0
003-22276,OLIVER WEST 592158,Allegheny,3726308.0
003-22277,OLIVER WEST 592159,Allegheny,3670292.0
003-22278,BOVARD DOROTHY UNIT 2H,Allegheny,2525705.5200000005
003-22279,BOVARD DOROTHY UNIT 3H,Allegheny,2986859.65
003-22280,BOVARD DOROTHY UNIT 7H,Allegheny,3499617.9299999997
003-22281,ACAA 2D,Allegheny,3969953.08
003-22282,ACAA 1D,Allegheny,1877120.6099999999
003-22283,OLIVER EAST 590601,Allegheny,6407683.0
003-22284,OLIVER EAST 591630,Allegheny,2738938.0
003-22285,OLIVER EAST 591631,Allegheny,4036673.0
003-22286,OLIVER EAST 591632,Allegheny,4199266.0
003-22287,ACAA 2A,Allegheny,3581099.5099999993
003-22288,ACAA 2B,Allegheny,3765357.3699999996
003-22289,ACAA 2C,Allegheny,3642009.389999999
003-22290,ACAA 2E,Allegheny,3854821.59
003-22291,ACAA 2F,Allegheny,3785879.1399999997
003-22292,ACAA 4J,Allegheny,
003-22293,BOVARD DOROTHY UNIT 1H,Allegheny,2294922.4799999995
003-22294,NORRIS DAVID ET AL UNIT 3H,Allegheny,5050031.420000001
003-22295,NORRIS DAVID ET AL UNIT 7H,Allegheny,4997769.099999999
003-22297,ACAA 1A,Allegheny,4866554.360000001
003-22298,ACAA 1B,Allegheny,5027116.180000001
003-22299,ACAA 1C,Allegheny,5109195.029999999
003-22300,ACAA 1E,Allegheny,2102142.11
003-22301,ACAA 1F,Allegheny,2540240.97
003-22302,ACAA 1IUD,Allegheny,958995.7799999999
003-22303,ACAA 1JUD,Allegheny,1736575.6700000004
003-22306,GULICK UNIT 2H,Allegheny,
003-22307,GULICK UNIT 3H,Allegheny,
003-22308,GULICK UNIT 4H,Allegheny,
003-22309,VEDRO AUGUST 11570 4H,Allegheny,
003-22312,OLIVER EAST 591633,Allegheny,2940126.0
003-22314,ACAA 4A,Allegheny,
003-22315,ACAA 4B,Allegheny,
003-22316,ACAA 4C,Allegheny,
003-22317,ACAA 4D,Allegheny,
003-22318,ACAA 4E,Allegheny,
003-22319,ACAA 4F,Allegheny,
003-22320,ACAA 4G,Allegheny,
003-22321,ACAA 4H,Allegheny,
003-22322,ACAA 4I,Allegheny,
003-22323,ACAA 4K,Allegheny,
003-22324,ACAA 4L,Allegheny,
003-22325,ACAA 6B,Allegheny,
003-22326,ACAA 5AUD,Allegheny,
003-22327,GULICK UNIT 1H,Allegheny,5719757.180000001
003-22328,GULICK UNIT 5H,Allegheny,4533264.18
003-22329,GULICK UNIT 6H,Allegheny,6416327.15
003-22332,GULICK UNIT 7H,Allegheny,8134567.720000001
003-22333,GULICK UNIT 9H,Allegheny,6726389.540000002
003-22334,BELLO CHARLES 11612 7H,Allegheny,2344755.2800000003
003-22336,ACAA 3H,Allegheny,
003-22339,BELLO CHARLES 11612 3H,Allegheny,1901336.4200000002
003-22340,BELLO CHARLES 11612 1H,Allegheny,2372289.0100000002
003-22341,BELLO CHARLES 11612 2H,Allegheny,2094934.82
003-22342,BELLO CHARLES 11612 4H,Allegheny,2603137.9299999997
003-22344,BICKERTON 593103,Allegheny,
003-22345,BICKERTON 593104,Allegheny,
003-22346,BICKERTON 591178,Allegheny,
003-22347,BICKERTON 591179,Allegheny,
003-22348,BICKERTON 593109,Allegheny,
003-22349,BICKERTON 593110,Allegheny,
003-22350,BICKERTON 593111,Allegheny,
003-22351,BICKERTON 593112,Allegheny,
003-22355,BELLO CHARLES 11612 6H,Allegheny,3418232.57
003-22356,OLIVER EAST 593277,Allegheny,
003-22357,OLIVER EAST 593276,Allegheny,
003-22358,ROSTOSKY 592801,Allegheny,6220846.0
003-22359,ROSTOSKY 593837,Allegheny,2841495.0
003-22360,ROSTOSKY 592980,Allegheny,3937506.0
003-22361,ROSTOSKY 592981,Allegheny,3182751.0
003-22362,ROSTOSKY 592982,Allegheny,2156409.0
003-22363,KRANIK 592921,Allegheny,
003-22364,KRANIK 592922,Allegheny,
003-22365,ROSTOSKY 593836,Allegheny,2965934.0
003-22366,BICKERTON 593113,Allegheny,
003-22367,ROSTOSKY 593713,Allegheny,
003-22368,BICKERTON 593114,Allegheny,
003-22369,BICKERTON 593115,Allegheny,
003-22378,PRENTICE 590476,Allegheny,
003-22379,PRENTICE 590477,Allegheny,
003-22380,PRENTICE 590478,Allegheny,
003-22381,PRENTICE 590479,Allegheny,1116825.0
003-22382,PRENTICE 591597,Allegheny,3141462.0
003-22385,ROSTOSKY 592796,Allegheny,
003-22386,ROSTOSKY 592797,Allegheny,
003-22387,ROSTOSKY 592799,Allegheny,
003-22390,PRENTICE 591598,Allegheny,1617720.0
003-22392,PRENTICE 591599,Allegheny,
003-22393,PRENTICE 591600,Allegheny,
003-22394,PRENTICE 591601,Allegheny,
003-22395,PRENTICE 591602,Allegheny,2545197.0
003-22396,PRENTICE 591603,Allegheny,2687517.0
003-22399,OLIVER WEST 593121,Allegheny,
003-22404,ROSTOSKY 592798,Allegheny,
003-22405,ROSTOSKY 592800,Allegheny,
003-22407,KRANIK 592925,Allegheny,
003-22408,KRANIK 592924,Allegheny,
003-22409,KRANIK 592923,Allegheny,
003-22410,ROSTOSKY 592792,Allegheny,
003-22411,ROSTOSKY 592983,Allegheny,1872805.0
003-22412,ROSTOSKY 592984,Allegheny,1132276.0
003-22413,ROSTOSKY 592985,Allegheny,1418504.0
003-22414,ROSTOSKY 592986,Allegheny,3668354.0
003-22415,ROSTOSKY 593838,Allegheny,2901970.0
003-22416,ROSTOSKY 593839,Allegheny,2018132.0
003-22417,ROSTOSKY 592793,Allegheny,
003-22418,ROSTOSKY 592794,Allegheny,
003-22419,ROSTOSKY 592795,Allegheny,
003-22425,OLIVER EAST 592759,Allegheny,2786432.0
003-22426,OLIVER EAST 593276,Allegheny,1479466.0
003-22427,"DALBO, DOMINICK UNIT 7H",Allegheny,292063.53
003-22428,"DALBO, DOMINICK UNIT 4H",Allegheny,236777.48
003-22429,"DALBO, DOMINICK UNIT 5H",Allegheny,239909.17
003-22430,"DALBO, DOMINICK UNIT 6H",Allegheny,215826.44
003-22431,"DALBO, DOMINICK UNIT 9H",Allegheny,511255.14
003-22432,"DALBO, DOMINICK UNIT 10H",Allegheny,452084.52
003-22433,MILLER JR 10602 3H,Allegheny,
003-22434,FETCHEN 592911,Allegheny,
003-22435,MILLER JR 10602 2H,Allegheny,
003-22436,ROSTOSKY 593710,Allegheny,
003-22437,KELLY RUN 594024,Allegheny,
003-22438,"DALBO, DOMINICK UNIT 8H",Allegheny,
003-22439,MILLER JR 10602 7H,Allegheny,
003-22440,MILLER JR 10602 8H,Allegheny,
003-22441,MILLER JR 10602 9H,Allegheny,
003-22442,MILLER JR 10602 10H,Allegheny,
003-22444,PRENTICE MON21H34,Allegheny,
003-22445,PRENTICE MON21H35,Allegheny,
003-22446,PRENTICE MON21H36,Allegheny,
003-22447,PRENTICE MON21H37,Allegheny,
003-22448,PRENTICE MON21H12,Allegheny,
003-22449,PRENTICE MON21H30,Allegheny,
003-22450,PRENTICE MON21H31,Allegheny,
003-22451,PRENTICE MON21H32,Allegheny,
003-22452,PRENTICE MON21H13,Allegheny,
003-22453,PRENTICE MON21H33,Allegheny,
003-22454,PRENTICE MON21H14,Allegheny,
003-22456,MIDAS 10M,Allegheny,
003-22457,MILLER JR 10602 5H,Allegheny,
003-22458,MILLER JR 10602 6H,Allegheny,
003-22459,MILLER JR 10602 11H,Allegheny,
003-22460,MIDAS 6M,Allegheny,
003-22461,MIDAS 8M,Allegheny,1663803.0
003-22462,GULICK UNIT 2H,Allegheny,2648776.4499999997
003-22463,GULICK UNIT 3H,Allegheny,2627938.11
003-22464,GULICK UNIT 4H,Allegheny,964572.25
003-22465,GULICK UNIT 11H,Allegheny,900156.3799999999
003-22466,APOLLO B 3M,Allegheny,
003-22467,APOLLO B 5M,Allegheny,
003-22468,APOLLO B 1M,Allegheny,
003-22469,CAROTHERS MCK74H3,Allegheny,
003-22470,FETCHEN MON197H16,Allegheny,
003-22471,FETCHEN MON197H17,Allegheny,165869.0
003-22472,FETCHEN MON197H35,Allegheny,1236830.0
003-22473,FETCHEN MON197H34,Allegheny,1394680.0
003-22474,FETCHEN MON197H33,Allegheny,103661.0
003-22475,FETCHEN MON197H18,Allegheny,3117176.0
003-22476,PRENTICE MON21H15,Allegheny,
003-22477,PRENTICE MON21H16,Allegheny,
003-22478,PRENTICE MON21H17,Allegheny,
003-22479,PRENTICE MON21H18,Allegheny,
003-22480,PRENTICE MON21H19,Allegheny,
003-22481,PRENTICE MON21H20,Allegheny,
003-22482,PRENTICE MON21H21,Allegheny,
003-22483,PRENTICE MON21H22,Allegheny,
003-22484,PRENTICE MON21H23,Allegheny,
003-22485,PRENTICE MON21H24,Allegheny,
003-22486,PRENTICE MON21H25,Allegheny,
003-22487,PRENTICE MON21H26,Allegheny,
003-22488,PRENTICE MON21H27,Allegheny,
003-22489,PRENTICE MON21H28,Allegheny,
003-22490,PRENTICE MON21H29,Allegheny,
003-22491,PRENTICE MON21H38,Allegheny,
003-22492,APOLLO B 1G,Allegheny,
003-22493,APOLLO B 3G,Allegheny,
003-22494,FETCHEN MON197H11,Allegheny,
003-22495,FETCHEN MON197H12,Allegheny,
003-22496,FETCHEN MON197H13,Allegheny,
003-22497,FETCHEN MON197H15,Allegheny,
003-22498,FETCHEN MON197H29,Allegheny,
003-22499,FETCHEN MON197H28,Allegheny,
003-22500,FETCHEN MON197H30,Allegheny,
003-22501,FETCHEN MON197H31,Allegheny,
003-22502,FETCHEN MON197H32,Allegheny,
003-22504,FETCHEN MON197H27,Allegheny,
003-22505,PRENTICE MON21H3,Allegheny,
003-22506,ZIOLKOWSKI RAY 11771 7H,Allegheny,
003-22507,ZIOLKOWSKI RAY 11771 8H,Allegheny,
003-22508,ZIOLKOWSKI RAY 11771 9H,Allegheny,
003-22509,ZIOLKOWSKI RAY 11771 10H,Allegheny,
003-22510,ZIOLKOWSKI RAY 11771 11H,Allegheny,
003-22518,ZIOLKOWSKI RAY 11771 12H,Allegheny,
003-22521,OLIVER EAST MON23H18,Allegheny,
003-22523,APOLLO B 1U,Allegheny,
003-22524,APOLLO B 3U,Allegheny,
003-22525,MIDAS 6G,Allegheny,
003-22526,MIDAS 6U,Allegheny,
003-22527,MIDAS 8G,Allegheny,
003-22530,APOLLO B 7M,Allegheny,
003-22531,APOLLO B 9M,Allegheny,
003-22532,PLUTUS 1G,Allegheny,
003-22533,PLUTUS 1M,Allegheny,
003-22534,PLUTUS 3G,Allegheny,
003-22535,PLUTUS 3M,Allegheny,
003-22536,PLUTUS 5G,Allegheny,
003-22537,PLUTUS 5M,Allegheny,
003-22538,PLUTUS 7G,Allegheny,
003-22539,PLUTUS 7M,Allegheny,
003-22540,PLUTUS 11G,Allegheny,
003-22541,PLUTUS 9M,Allegheny,
003-22542,PLUTUS 9G,Allegheny,
003-22543,PLUTUS 11M,Allegheny,
003-22545,APOLLO B 3M,Allegheny,
003-22546,ACAA 4B,Allegheny,
003-22547,ACAA 4A,Allegheny,
003-22548,ACAA 4G,Allegheny,
003-22549,ACAA 4H,Allegheny,
003-22550,ACAA 4I,Allegheny,
003-22551,ZIOLKOWSKI RAY 11771 1H,Allegheny,
003-22552,ZIOLKOWSKI RAY 11771 4H,Allegheny,
003-22553,ZIOLKOWSKI RAY 11771 5H,Allegheny,
003-22554,ZIOLKOWSKI RAY 11771 3H,Allegheny,
003-22555,ZIOLKOWSKI RAY 11771 2H,Allegheny,
003-22556,ZIOLKOWSKI RAY 11771 6H,Allegheny,
003-22557,ZIOLKOWSKI RAY 11771 13H,Allegheny,
003-22558,ACAA 4C,Allegheny,
003-22559,OLIVER EAST MON23H14,Allegheny,
003-22560,OLIVER EAST MON23H15,Allegheny,
003-22561,ET-Braddock,Allegheny,
003-22563,ET-BRADDOCK 1H,Allegheny,
005-28066,MILLIGAN-SNYDER UNIT 3,Armstrong,156560.0
005-28666,MATTHEW MILLER 2,Armstrong,76274.87
005-28706,A J STOREY 1,Armstrong,198615.0
005-29285,DAVID G HILL 3-135,Armstrong,178281.04
005-29324,GOODMAN UNIT 1M,Armstrong,21280.0
005-29428,MICHAEL J LORD ETUX 1-5,Armstrong,186959.0
005-29498,HILEMAN 4,Armstrong,127532.5
005-29506,OESTERLING 8165,Armstrong,294720.6899999999
005-29610,GARY L WARNER ETUX 3-78,Armstrong,279802.0
005-29684,SHAWMUT DEVELOPMENT CORP 5-228,Armstrong,177590.0
005-29720,TOY-FORSHEE 1-255,Armstrong,250743.0
005-29722,JASON B EROH ET UX 3,Armstrong,209570.0
005-29773,HARRY D ANDES 3,Armstrong,234398.76
005-29932,ARMSTRONG CNTY HUNTING & FISHING 3-104,Armstrong,222094.0
005-30080,BVL-DREXEL 9-184,Armstrong,
005-30081,TREGASKES UNIT 1,Armstrong,220996.0
005-30082,GLACIAL SAND & GRAVEL COMPANY 2-58,Armstrong,69133.0
005-30083,GLACIAL SNAD & GRAVEL CO 2-180,Armstrong,148703.0
005-30150,FREEHLING UNIT 1,Armstrong,214782.0
005-30186,T A MCKEE 590269,Armstrong,0.0
005-30201,T A MCKEE 590270,Armstrong,837139.0
005-30203,COVEN UNIT 1M,Armstrong,154671.0
005-30231,RUFFANER LIVING TRUST 1-150,Armstrong,165003.0
005-30250,GILBERT C QUERIO 1A-43,Armstrong,246188.0
005-30325,BVL-SOLOSKI 4-249,Armstrong,152237.0
005-30326,BVL/MUSHROOM FARM 2-1813,Armstrong,182952.0
005-30327,BVL/MUSHROOM FARM 1-1813,Armstrong,130094.0
005-30328,BVL/MUSHROOM FARM 3-1813,Armstrong,204617.0
005-30329,MAUL LIVING TRUST 1-85,Armstrong,87686.0
005-30330,BVL/MUSHROOM FARM 6-1813,Armstrong,134238.0
005-30331,BVL/MUSHROOM FARM 5-1813,Armstrong,210972.0
005-30332,BVL/MUSHROOM FARM 4-1813,Armstrong,137517.0
005-30336,C EDWARD DUNMIRE ETUX 2-331M,Armstrong,141500.0
005-30337,HERBERT ELLENBERGER 4,Armstrong,
005-30364,DICKEY UNIT 1H,Armstrong,1774540.0
005-30365,LESHOCK 2A,Armstrong,
005-30380,MC INTYRE 1-179,Armstrong,283747.0
005-30381,C H SNYDER CO UNIT 3-40,Armstrong,161391.0
005-30388,RUTH ISEMAN 1V,Armstrong,
005-30389,GEORGE AMBROSE 3-112,Armstrong,227298.0
005-30390,SAMUEL W MONTGOMERY 2-109,Armstrong,183456.0
005-30391,SAGC 2-172,Armstrong,300584.0
005-30392,C H SNYDER COMPANY 3-135,Armstrong,100171.0
005-30393,RICHARD D TARR ETUX 2-110,Armstrong,282858.0
005-30394,SHAWMUT DEVELOPMENT CORP 6-228,Armstrong,
005-30410,RICHEY / SBI 1,Armstrong,175702.0
005-30412,DICKEY UNIT 2-O,Armstrong,0.0
005-30423,LENAPE HEIGHTS UNIT 3H,Armstrong,
005-30431,SAM CROSS UNIT 3H,Armstrong,
005-30453,T A MCKEE 590271,Armstrong,1579893.0
005-30485,JOE J KUHNS ETUX 1M-75,Armstrong,22993.0
005-30487,RUTH ISEMAN UNIT 2H,Armstrong,2060120.33
005-30488,SBTRA 1M-147,Armstrong,231149.0
005-30493,RUTH ISEMAN UNIT 3H,Armstrong,2155192.05
005-30495,LENAPE HEIGHTS 5V,Armstrong,
005-30503,LENAPE HEIGHTS UNIT 3H,Armstrong,3000604.05
005-30504,LENAPE HEIGHTS 4H,Armstrong,2281701.75
005-30532,MATTHEW MILLER 5,Armstrong,
005-30533,F S WALKER 590303,Armstrong,0.0
005-30536,ARBUCKLE 1-67.3,Armstrong,163955.0
005-30546,MONROE 590254,Armstrong,0.0
005-30572,NBSC 1M-63,Armstrong,183539.0
005-30588,EDWIN C ROSBOROUGH 590259,Armstrong,3763471.0
005-30589,EDWIN C ROSBOROUGH 590442,Armstrong,0.0
005-30590,EDWIN C ROSBOROUGH 590589,Armstrong,2724463.0
005-30613,DICKEY 3H,Armstrong,2825177.0
005-30622,WILSON-RHEA UNIT 1M,Armstrong,179951.0
005-30623,LASH-CRAWFORD UNIT 1M,Armstrong,128466.0
005-30624,WILSON-JOHNSTON UNIT 1M,Armstrong,134512.0
005-30625,THOMAS D VASTINE ETUX 1-44,Armstrong,192548.0
005-30635,DONALD R BOWSER ETUX 1M-207,Armstrong,164017.0
005-30636,E STUART CLAYPOOLE ETUX 1-205,Armstrong,290960.0
005-30649,CARL E SHIELDS 1M,Armstrong,248265.0
005-30650,ROGER H CLAYPOOLE ETUX 1M-528,Armstrong,316194.0
005-30651,MANOR MINERALS UNIT 1M-A,Armstrong,257709.0
005-30652,MATTHEW ANTHONY 3M-86,Armstrong,188274.0
005-30663,ROBERT J HEPFL ETUX 1-55,Armstrong,203579.0
005-30672,TIMOTHY L BOWSER ETUX 1M-86,Armstrong,272246.0
005-30676,BVL/SHAWMUT 2M-100,Armstrong,203972.0
005-30678,BVL/SHAWMUT 4M-100,Armstrong,178881.0
005-30685,BOB R GEORGE ETUX 3M-59,Armstrong,253596.0
005-30686,SMITH-BARGERSTOCK 1,Armstrong,201844.0
005-30687,OESTERLING 8514H,Armstrong,
005-30697,RUTH ISEMAN UNIT 4H,Armstrong,1875488.1600000001
005-30698,FREDERICK A & SHERRY L WHITE 1M-43,Armstrong,121192.0
005-30710,SWANK 590635,Armstrong,
005-30713,LENAPE HEIGHTS UNIT 5H,Armstrong,3228606.5
005-30714,LENAPE HEIGHTS UNIT 6H,Armstrong,3657615.4
005-30716,MONROE 590444,Armstrong,
005-30718,WRIGHT 590661,Armstrong,1847739.0
005-30719,WRIGHT 590662,Armstrong,1820823.0
005-30720,WRIGHT 590660,Armstrong,2646410.0
005-30724,DONALD J ANTONACE ETUX 2M-50,Armstrong,156528.0
005-30732,IDA 2M-613,Armstrong,
005-30737,WOLFE (ARMCLAR) 17M-278,Armstrong,138366.0
005-30743,BVL - SOLOSKI 5-249,Armstrong,161927.0
005-30751,HENDRICKSON UNIT 1M,Armstrong,149106.0
005-30763,DAVID M LASH ETUX 2M-101,Armstrong,184825.0
005-30764,LESHOCK 2A,Armstrong,
005-30765,JOHN H YOUNKINS 3M-118,Armstrong,2526.0
005-30770,MONTGOMERY-BAKER 1M-194,Armstrong,144962.0
005-30774,RUTH ISEMAN UNIT 5H,Armstrong,2610270.7199999997
005-30782,SWANK 590636,Armstrong,
005-30792,JEAN V LEWIS 1M-39,Armstrong,233500.0
005-30793,WILLIAM F CLEPPER ETUX 4M-243,Armstrong,199178.0
005-30795,JOHN H YOUNKINS 3M-118,Armstrong,
005-30798,SHARISKY 1M-355,Armstrong,149179.0
005-30801,DALE THOMAS ETUX 1M-62,Armstrong,194441.0
005-30804,CARL E & DORIS SHOPE 2-53,Armstrong,197493.0
005-30805,BOWSER-WRAY UNIT 1M,Armstrong,214604.0
005-30807,SMELTZER 1H,Armstrong,
005-30808,SMELTZER 3H,Armstrong,4164329.04
005-30809,SMELTZER 4H,Armstrong,
005-30811,WRIGHT 590644,Armstrong,2776530.0
005-30823,HOOKS-PHILLIPS UNIT 1M,Armstrong,225389.0
005-30824,SCHRECENGOST PAD 8 UNIT 1H,Armstrong,
005-30825,SCHRECENGOST PAD 8 UNIT 2H,Armstrong,
005-30826,SCHRECENGOST PAD 8 UNIT 3H,Armstrong,2922833.0
005-30827,SCHRECENGOST PAD 8 UNIT 5H,Armstrong,
005-30828,SCHRECENGOST PAD 8 UNIT 6H,Armstrong,
005-30829,SCHRECENGOST PAD 8 UNIT 4V,Armstrong,
005-30831,AMC-LORENZETTI 1M,Armstrong,
005-30832,COLLIER-TREGASKES UNIT 1M,Armstrong,26112.0
005-30848,KEVIN R BOWSER ETUX 1M-41,Armstrong,168557.0
005-30849,TMH DEVELOPMENT COMPANY LLC 1M,Armstrong,95353.0
005-30851,C H SNYDER COMPANY 4-135,Armstrong,231661.0
005-30855,ROBERT MCKAY (MOHNEY) 3M-162,Armstrong,109855.0
005-30856,ROBERT E PATRICK JR 12M-197,Armstrong,130101.0
005-30859,JACK G YOUNKINS ETUX 1M-15,Armstrong,34465.0
005-30861,WESLEY R BOWSER ETUX 3M-60,Armstrong,206229.0
005-30862,SOLOMON-WISE 1M-27,Armstrong,189250.0
005-30863,SWANK 590635,Armstrong,1958341.0
005-30864,SWANK 590636,Armstrong,2208014.0
005-30868,WILLIAM L TRAISTER (HETRICK) 1M-68,Armstrong,112620.0
005-30869,RALPH MYERS ETUX 1M-30,Armstrong,
005-30870,RALPH MYERS ETUX 1M-35,Armstrong,
005-30871,RALPH MYERS ETUX 1M-89,Armstrong,
005-30876,MDS ENERGY 1M,Armstrong,128762.0
005-30878,JAMES A HELD ETUX 1M-25,Armstrong,148335.0
005-30879,WRIGHT 590646,Armstrong,2723492.0
005-30880,FRANKIE J SHUMAKER ETUX 1M-117,Armstrong,88322.0
005-30881,MICHAEL SHANEOUR ETUX 1M-20,Armstrong,183009.8
005-30882,RODNEY A MORRIS ETAL 2M-81,Armstrong,
005-30883,RODNEY A MORRIS ETAL 3M-81,Armstrong,
005-30884,MDS ENERGY LTD 1M-14,Armstrong,153077.0
005-30885,TERRY L BOWSER ETUX 1M-53,Armstrong,174336.0
005-30886,TERRY L BOWSER ETUX 1M-137,Armstrong,
005-30887,R MORRIS 1M,Armstrong,186558.0
005-30888,CLEO P CLAYPOOL 3M-277,Armstrong,124797.0
005-30889,ROGER H CLAYPOOLE ETUX 2M-528,Armstrong,202140.0
005-30891,KLINGENSMITH 1H,Armstrong,
005-30892,KLINGENSMITH 2H,Armstrong,
005-30893,RUTH ISEMAN UNIT 6H,Armstrong,
005-30894,RUTH ISEMAN UNIT 9H,Armstrong,
005-30895,RUTH ISEMAN UNIT 10H,Armstrong,
005-30896,TICKLE FARM PAD 1H,Armstrong,2088314.0
005-30897,TICKLE FARM PAD 2H,Armstrong,1851243.0
005-30898,TICKLE FARM PAD 3H,Armstrong,2358684.0
005-30899,BOWSER-WILL 1M,Armstrong,232151.80000000002
005-30906,SAMUEL W MONTGOMERY JR ETUX 1M-38,Armstrong,145799.5
005-30907,MICHAEL T SHAFFER ETUX 1M-24,Armstrong,
005-30908,STEVEN W SHAFFER ET UX 2M,Armstrong,92312.0
005-30910,CLAYPOOLE 1H,Armstrong,4195118.0
005-30915,SCHRECENGOST PAD 8 UNIT 1H,Armstrong,3170454.0
005-30916,SCHRECENGOST PAD 8 UNIT 2H,Armstrong,2665059.0
005-30917,SCHRECENGOST PAD 8 UNIT 5H,Armstrong,3519468.0
005-30919,TIMOTHY L CLAYPOOLE ETUX 1M-101,Armstrong,180504.0
005-30920,H M BOYER 3-77,Armstrong,186544.07000000004
005-30934,DANIEL J SMICIK ETUX 1M-71,Armstrong,124673.0
005-30944,BVL-KIJOWSKI UNIT 1M,Armstrong,153310.0
005-30945,WILLIAM & PHILIP MCAULEY 1M-D,Armstrong,24358.399999999994
005-30952,HAROLD P MATEER 1M-45.5,Armstrong,249613.0
005-30969,STEVEN H SHAY 1M,Armstrong,162912.0
005-30972,STONIS PAD 1 2H,Armstrong,
005-30973,STONIS PAD 1 4H,Armstrong,2701441.0
005-30975,SMELTZER 4H,Armstrong,
005-30976,MONROE 590254,Armstrong,
005-30977,MONROE 590444,Armstrong,
005-30978,ROGER A FREEHLING ETAL 1M-100,Armstrong,132823.0
005-30982,RUTH ISEMAN UNIT 6H,Armstrong,
